date,Mom   
20170103,  -0.61
20170104,  -0.37
20170105,  -0.60
20170106,  -0.18
20170109,  -0.37
20170110,   0.71
20170111,   0.66
20170112,  -0.54
20170113,   0.17
20170117,  -0.91
20170118,   0.52
20170119,   0.34
20170120,   0.18
20170123,   0.08
20170124,   1.18
20170125,   0.50
20170126,   0.54
20170127,   0.05
20170130,  -0.70
20170131,  -0.67
20170201,   0.48
20170202,  -0.50
20170203,   0.89
20170206,  -0.24
20170207,  -0.24
20170208,  -0.63
20170209,   0.46
20170210,  -0.33
20170213,   0.32
20170214,   0.12
20170215,  -0.24
20170216,  -0.06
20170217,  -0.42
20170221,   0.07
20170222,  -0.07
20170223,  -0.54
20170224,  -0.61
20170227,   0.14
20170228,   0.13
20170301,   1.27
20170302,  -1.15
20170303,   0.64
20170306,   0.02
20170307,   0.10
20170308,  -0.67
20170309,  -0.19
20170310,  -0.19
20170313,   0.54
20170314,  -0.16
20170315,  -0.05
20170316,  -0.18
20170317,   0.13
20170320,  -0.01
20170321,  -1.68
20170322,   0.22
20170323,   0.15
20170324,   0.08
20170327,  -0.32
20170328,   0.38
20170329,  -0.46
20170330,   0.72
20170331,   0.00
20170403,   0.04
20170404,   0.37
20170405,  -0.45
20170406,   0.08
20170407,   0.01
20170410,  -0.90
20170411,   0.13
20170412,  -0.59
20170413,  -0.31
20170417,   0.52
20170418,  -0.02
20170419,   0.20
20170420,   0.41
20170421,   0.18
20170424,   0.94
20170425,   0.12
20170426,  -0.21
20170427,   0.23
20170428,  -0.08
20170501,   0.98
20170502,  -0.59
20170503,  -0.02
20170504,  -0.01
20170505,  -0.30
20170508,   0.01
20170509,   0.05
20170510,   0.05
20170511,   0.13
20170512,   0.31
20170515,   0.07
20170516,   0.83
20170517,  -1.55
20170518,   0.57
20170519,  -0.25
20170522,   0.36
20170523,   0.56
20170524,   0.13
20170525,   0.58
20170526,   0.16
20170530,   0.08
20170531,  -0.02
20170601,  -0.41
20170602,   0.56
20170605,   0.04
20170606,  -0.11
20170607,   1.12
20170608,   0.97
20170609,  -1.60
20170612,  -1.22
20170613,   0.53
20170614,  -0.21
20170615,   0.27
20170616,   0.11
20170619,   0.78
20170620,   0.18
20170621,   0.63
20170622,  -0.53
20170623,  -0.09
20170626,  -0.59
20170627,  -0.32
20170628,   0.90
20170629,  -0.49
20170630,  -0.35
20170703,  -0.59
20170705,   1.44
20170706,   0.74
20170707,   0.83
20170710,   0.41
20170711,   0.01
20170712,   0.32
20170713,  -0.38
20170714,  -0.14
20170717,  -0.17
20170718,   0.45
20170719,  -0.34
20170720,  -0.06
20170721,   0.31
20170724,   0.97
20170725,  -0.68
20170726,  -0.19
20170727,  -1.07
20170728,   0.18
20170731,  -0.04
20170801,   0.62
20170802,   0.64
20170803,   0.29
20170804,   0.02
20170807,   0.41
20170808,   0.57
20170809,  -0.24
20170810,  -0.47
20170811,   0.00
20170814,   1.12
20170815,   0.62
20170816,  -0.03
20170817,  -0.50
20170818,   0.21
20170821,   0.05
20170822,   0.46
20170823,  -0.25
20170824,   0.03
20170825,  -0.44
20170828,   0.41
20170829,   0.23
20170830,   0.54
20170831,   0.02
20170901,  -0.38
20170905,  -0.70
20170906,  -0.77
20170907,   0.03
20170908,   0.45
20170911,   0.31
20170912,  -0.57
20170913,  -0.59
20170914,   0.01
20170915,  -0.23
20170918,   0.48
20170919,   0.75
20170920,  -0.30
20170921,   0.06
20170922,  -0.35
20170925,  -1.47
20170926,  -0.06
20170927,   0.81
20170928,   0.48
20170929,   0.42
20171002,   0.01
20171003,   0.01
20171004,   0.25
20171005,   0.01
20171006,   0.64
20171009,   0.56
20171010,   0.00
20171011,   0.41
20171012,   0.65
20171013,  -0.02
20171016,   0.26
20171017,  -0.22
20171018,   0.19
20171019,  -0.22
20171020,   0.12
20171023,   0.43
20171024,   0.66
20171025,  -0.08
20171026,   0.32
20171027,   0.97
20171030,  -0.17
20171031,   0.39
20171101,  -0.47
20171102,   0.76
20171103,   0.48
20171106,  -0.40
20171107,  -0.26
20171108,  -0.02
20171109,  -0.82
20171110,  -0.12
20171113,   0.83
20171114,   0.93
20171115,  -0.12
20171116,   0.18
20171117,  -1.34
20171120,   0.46
20171121,   0.93
20171122,  -0.88
20171124,   0.50
20171127,   0.15
20171128,  -0.47
20171129,  -2.29
20171130,   0.50
20171201,  -0.46
20171204,  -1.98
20171205,   0.94
20171206,   0.89
20171207,   0.70
20171208,  -0.48
20171211,  -0.28
20171212,  -0.57
20171213,   0.56
20171214,   0.48
20171215,   0.25
20171218,  -0.09
20171219,  -0.07
20171220,  -0.27
20171221,  -0.75
20171222,   0.11
20171226,  -0.40
20171227,   0.60
20171228,  -0.08
20171229,  -0.18
20180102,  -0.64
20180103,   0.22
20180104,  -0.20
20180105,   0.60
20180108,   0.15
20180109,   0.53
20180110,  -0.20
20180111,  -0.29
20180112,   0.00
20180116,  -0.18
20180117,   0.99
20180118,   0.42
20180119,   0.56
20180122,  -0.31
20180123,   0.02
20180124,  -0.18
20180125,   0.62
20180126,   0.60
20180129,  -0.12
20180130,   0.32
20180131,   0.28
20180201,  -0.19
20180202,   0.15
20180205,  -0.23
20180206,   0.78
20180207,   0.15
20180208,  -1.15
20180209,   0.58
20180212,   0.53
20180213,   0.62
20180214,   0.21
20180215,   0.28
20180216,  -0.15
20180220,   0.29
20180221,   0.79
20180222,   0.18
20180223,   0.04
20180226,   0.10
20180227,   0.26
20180228,   0.52
20180301,  -0.81
