date,Mkt-RF,SMB,HML,RMW,CMA,RF
20170103,    0.83,   -0.11,    0.06,   -0.21,    0.26,   0.002
20170104,    0.79,    0.97,   -0.16,   -0.47,   -0.04,   0.002
20170105,   -0.21,   -1.02,   -0.79,   -0.21,   -0.08,   0.002
20170106,    0.29,   -0.74,   -0.31,   -0.35,   -0.30,   0.002
20170109,   -0.37,   -0.34,   -1.03,    0.14,   -0.52,   0.002
20170110,    0.16,    0.93,    0.43,    0.04,    0.04,   0.002
20170111,    0.31,   -0.16,    0.68,    0.07,    0.28,   0.002
20170112,   -0.30,   -0.65,   -0.87,    0.05,   -0.28,   0.002
20170113,    0.29,    0.59,   -0.08,   -0.28,   -0.17,   0.002
20170117,   -0.49,   -0.96,   -0.64,    0.59,    0.39,   0.002
20170118,    0.24,    0.20,    0.24,   -0.11,   -0.10,   0.002
20170119,   -0.38,   -0.55,   -0.05,   -0.10,   -0.03,   0.002
20170120,    0.33,    0.09,    0.23,    0.14,    0.01,   0.002
20170123,   -0.29,   -0.06,   -0.33,    0.43,   -0.35,   0.002
20170124,    0.83,    0.80,    0.81,   -0.24,    0.49,   0.002
20170125,    0.84,    0.21,    0.43,   -0.26,   -0.16,   0.002
20170126,   -0.10,   -0.58,    0.41,   -0.08,   -0.16,   0.002
20170127,   -0.12,   -0.06,   -0.68,    0.10,    0.05,   0.002
20170130,   -0.68,   -0.74,   -0.46,    0.60,   -0.15,   0.002
20170131,    0.00,    0.82,   -0.56,   -0.40,   -0.25,   0.002
20170201,    0.03,   -0.08,    0.04,    0.22,   -0.22,   0.002
20170202,   -0.02,   -0.30,   -0.29,   -0.31,    0.16,   0.002
20170203,    0.82,    0.62,    0.75,   -0.50,    0.31,   0.002
20170206,   -0.27,   -0.64,   -0.19,    0.10,   -0.21,   0.002
20170207,   -0.01,   -0.38,   -0.52,    0.39,   -0.23,   0.002
20170208,    0.06,   -0.28,   -0.60,    0.30,   -0.07,   0.002
20170209,    0.72,    0.70,    0.07,   -0.27,    0.05,   0.002
20170210,    0.38,    0.41,    0.14,    0.01,    0.15,   0.002
20170213,    0.49,   -0.26,    0.33,    0.00,    0.04,   0.002
20170214,    0.45,   -0.17,    0.36,   -0.44,   -0.08,   0.002
20170215,    0.54,    0.14,   -0.43,    0.20,   -0.06,   0.002
20170216,   -0.16,   -0.22,    0.01,    0.27,   -0.23,   0.002
20170217,    0.20,   -0.06,   -0.54,    0.01,   -0.40,   0.002
20170221,    0.60,    0.06,    0.13,    0.32,    0.37,   0.002
20170222,   -0.15,   -0.38,    0.10,    0.48,   -0.33,   0.002
20170223,   -0.11,   -0.71,    0.25,   -0.25,   -0.45,   0.002
20170224,    0.15,   -0.11,   -0.98,    0.33,   -0.23,   0.002
20170227,    0.22,    0.85,   -0.33,   -0.38,   -0.15,   0.002
20170228,   -0.42,   -1.36,    0.16,   -0.01,   -0.20,   0.002
20170301,    1.47,    0.52,    0.77,   -0.54,    0.53,   0.001
20170302,   -0.70,   -0.54,   -0.90,    0.63,   -0.43,   0.001
20170303,    0.09,   -0.18,    0.14,   -0.06,   -0.10,   0.001
20170306,   -0.38,   -0.41,   -0.08,   -0.05,    0.01,   0.001
20170307,   -0.36,   -0.35,   -0.06,    0.10,   -0.25,   0.001
20170308,   -0.19,   -0.19,   -0.83,    0.44,   -0.75,   0.001
20170309,    0.04,   -0.53,   -0.23,   -0.58,   -0.14,   0.001
20170310,    0.34,    0.06,   -0.48,    0.27,    0.04,   0.001
20170313,    0.13,    0.32,   -0.07,   -0.12,    0.04,   0.001
20170314,   -0.36,   -0.22,    0.00,    0.50,   -0.25,   0.001
20170315,    0.86,    0.70,   -0.46,   -0.12,    0.50,   0.001
20170316,   -0.06,    0.44,    0.22,   -0.16,   -0.36,   0.001
20170317,   -0.08,    0.58,   -0.33,    0.15,    0.02,   0.001
20170320,   -0.25,   -0.20,   -0.72,   -0.15,   -0.05,   0.001
20170321,   -1.48,   -1.41,   -0.71,    0.86,    0.29,   0.001
20170322,    0.16,   -0.33,   -0.57,    0.16,   -0.16,   0.001
20170323,   -0.03,    0.74,    0.49,   -0.03,    0.20,   0.001
20170324,   -0.05,    0.11,   -0.21,   -0.26,   -0.32,   0.001
20170327,   -0.05,    0.47,   -0.49,   -0.21,   -0.27,   0.001
20170328,    0.72,   -0.05,    0.72,    0.05,    0.39,   0.001
20170329,    0.18,    0.33,   -0.09,   -0.25,    0.12,   0.001
20170330,    0.36,    0.42,    0.92,   -0.06,   -0.16,   0.001
20170331,   -0.16,    0.55,   -0.32,    0.04,    0.08,   0.001
20170403,   -0.28,   -1.15,   -0.08,   -0.15,   -0.06,   0.003
20170404,    0.05,   -0.24,    0.32,   -0.08,    0.20,   0.003
20170405,   -0.44,   -0.83,   -0.30,    0.46,   -0.10,   0.003
20170406,    0.32,    0.74,    0.48,   -0.13,    0.37,   0.003
20170407,   -0.08,    0.07,   -0.26,    0.01,   -0.05,   0.003
20170410,    0.08,    0.14,    0.07,    0.19,    0.49,   0.003
20170411,   -0.05,    0.80,    0.23,    0.21,    0.19,   0.003
20170412,   -0.49,   -0.94,   -0.54,   -0.04,   -0.54,   0.003
20170413,   -0.75,   -0.34,   -0.81,   -0.03,   -0.38,   0.003
20170417,    0.89,    0.29,    0.24,    0.02,   -0.14,   0.003
20170418,   -0.25,    0.31,   -0.19,    0.31,    0.11,   0.003
20170419,   -0.08,    0.56,   -0.44,    0.44,   -0.84,   0.003
20170420,    0.83,    0.60,    0.26,    0.19,   -0.20,   0.003
20170421,   -0.28,    0.06,   -0.15,    0.35,   -0.19,   0.003
20170424,    1.18,    0.29,    0.50,   -0.07,    0.16,   0.003
20170425,    0.65,    0.40,   -0.07,   -0.38,    0.31,   0.003
20170426,    0.04,    0.75,    0.32,    0.23,    0.00,   0.003
20170427,    0.05,   -0.20,   -0.98,    0.20,   -0.57,   0.003
20170428,   -0.30,   -0.76,   -0.61,    0.10,   -0.19,   0.003
20170501,    0.21,    0.25,   -0.13,   -0.17,   -0.50,   0.003
20170502,    0.03,   -0.47,   -0.21,    0.40,   -0.35,   0.003
20170503,   -0.19,   -0.52,    0.22,   -0.04,    0.13,   0.003
20170504,    0.02,   -0.13,   -0.36,    0.36,   -0.71,   0.003
20170505,    0.46,    0.11,    0.00,   -0.22,    0.65,   0.003
20170508,   -0.04,   -0.21,    0.26,    0.13,    0.08,   0.003
20170509,   -0.05,    0.40,   -0.81,    0.34,   -0.37,   0.003
20170510,    0.20,    0.25,    0.03,   -0.31,    0.39,   0.003
20170511,   -0.26,   -0.43,   -0.15,   -0.25,   -0.02,   0.003
20170512,   -0.18,   -0.38,   -0.61,   -0.27,   -0.33,   0.003
20170515,    0.53,    0.25,    0.20,   -0.31,    0.04,   0.003
20170516,   -0.03,    0.10,   -0.09,   -0.25,   -0.12,   0.003
20170517,   -1.97,   -0.96,   -0.60,    0.53,    0.29,   0.003
20170518,    0.40,    0.00,   -0.39,   -0.33,   -0.59,   0.003
20170519,    0.70,   -0.34,    0.40,   -0.09,    0.79,   0.003
20170522,    0.56,    0.25,   -0.30,   -0.04,   -0.31,   0.003
20170523,    0.18,   -0.01,    0.65,   -0.23,    0.08,   0.003
20170524,    0.24,   -0.19,   -0.46,    0.14,   -0.30,   0.003
20170525,    0.42,   -0.35,   -0.75,    0.54,   -0.63,   0.003
20170526,    0.06,   -0.03,    0.10,    0.18,    0.14,   0.003
20170530,   -0.19,   -0.54,   -0.34,    0.63,   -0.04,   0.003
20170531,   -0.02,   -0.04,   -0.53,    0.28,   -0.09,   0.003
20170601,    0.95,    1.03,    0.04,   -0.20,    0.05,   0.003
20170602,    0.35,    0.44,   -0.76,    0.15,   -0.48,   0.003
20170605,   -0.17,   -0.46,   -0.03,   -0.17,    0.05,   0.003
20170606,   -0.28,    0.10,   -0.03,   -0.47,    0.38,   0.003
20170607,    0.15,   -0.12,   -0.04,    0.53,   -0.67,   0.003
20170608,    0.18,    1.19,    0.93,   -0.69,   -0.05,   0.003
20170609,   -0.12,    0.31,    2.44,   -0.15,    1.09,   0.003
20170612,   -0.11,   -0.17,    0.34,    0.08,    0.57,   0.003
20170613,    0.55,    0.06,   -0.14,   -0.30,   -0.08,   0.003
20170614,   -0.17,   -0.55,   -0.52,    0.12,   -0.52,   0.003
20170615,   -0.30,   -0.30,   -0.11,    0.08,   -0.10,   0.003
20170616,   -0.03,   -0.25,   -0.15,   -0.46,    0.16,   0.003
20170619,    0.86,    0.10,   -0.75,   -0.11,   -0.10,   0.003
20170620,   -0.73,   -0.45,   -0.48,   -0.21,   -0.23,   0.003
20170621,   -0.07,   -0.23,   -1.67,   -0.23,   -1.15,   0.003
20170622,    0.02,    0.46,   -0.40,   -0.17,   -0.02,   0.003
20170623,    0.24,    0.75,   -0.48,   -0.37,    0.08,   0.003
20170626,    0.04,    0.09,    0.70,    0.22,    0.18,   0.003
20170627,   -0.85,   -0.21,    1.34,    0.34,    0.35,   0.003
20170628,    1.02,    0.80,    0.21,   -0.20,   -0.10,   0.003
20170629,   -0.83,    0.05,    1.37,   -0.23,    0.34,   0.003
20170630,    0.14,   -0.09,   -0.29,    0.21,    0.30,   0.003
20170703,    0.24,    0.44,    1.21,   -0.53,    0.71,   0.004
20170705,    0.12,   -0.69,   -0.58,    0.14,   -0.67,   0.004
20170706,   -0.95,   -0.44,    0.12,    0.21,   -0.08,   0.004
20170707,    0.70,    0.40,   -0.41,    0.18,   -0.50,   0.004
20170710,    0.05,   -0.47,   -0.08,   -0.12,    0.00,   0.004
20170711,    0.00,    0.29,   -0.55,   -0.33,    0.18,   0.004
20170712,    0.72,    0.06,   -0.53,    0.12,   -0.21,   0.004
20170713,    0.17,   -0.01,    0.39,   -0.04,    0.18,   0.004
20170714,    0.42,   -0.22,   -0.52,    0.16,   -0.01,   0.004
20170717,    0.00,    0.22,    0.10,    0.18,    0.09,   0.004
20170718,    0.04,   -0.37,   -0.31,   -0.09,   -0.42,   0.004
20170719,    0.59,    0.46,    0.03,   -0.23,    0.20,   0.004
20170720,    0.00,    0.06,   -0.04,    0.12,   -0.29,   0.004
20170721,   -0.08,   -0.42,   -0.24,   -0.01,   -0.33,   0.004
20170724,   -0.03,    0.10,   -0.19,   -0.24,   -0.41,   0.004
20170725,    0.38,    0.44,    0.96,   -0.19,    0.66,   0.004
20170726,   -0.06,   -0.48,   -0.77,   -0.16,    0.07,   0.004
20170727,   -0.14,   -0.68,    0.44,    0.28,    0.35,   0.004
20170728,   -0.17,   -0.06,    0.26,   -0.21,    0.25,   0.004
20170731,   -0.11,   -0.28,    0.43,   -0.07,    0.04,   0.004
20170801,    0.24,   -0.13,    0.14,    0.27,   -0.50,   0.004
20170802,   -0.08,   -1.16,    0.14,    0.04,   -0.39,   0.004
20170803,   -0.21,   -0.36,   -0.33,    0.28,   -0.35,   0.004
20170804,    0.25,    0.36,    0.39,   -0.03,    0.09,   0.004
20170807,    0.16,   -0.10,   -0.58,    0.24,   -0.37,   0.004
20170808,   -0.24,   -0.08,    0.24,   -0.33,   -0.19,   0.004
20170809,   -0.14,   -0.80,   -0.07,    0.14,    0.04,   0.004
20170810,   -1.49,   -0.31,    0.27,    0.30,    0.10,   0.004
20170811,    0.19,    0.17,   -0.87,    0.36,   -0.08,   0.004
20170814,    1.03,    0.33,    0.13,   -0.05,   -0.46,   0.004
20170815,   -0.11,   -0.87,   -0.03,   -0.17,   -0.25,   0.004
20170816,    0.18,   -0.14,   -0.44,    0.33,   -0.14,   0.004
20170817,   -1.60,   -0.18,   -0.17,   -0.04,    0.14,   0.004
20170818,   -0.15,    0.11,    0.24,   -0.27,    0.00,   0.004
20170821,    0.06,   -0.27,   -0.22,    0.20,   -0.15,   0.004
20170822,    1.07,   -0.02,   -0.23,   -0.18,    0.19,   0.004
20170823,   -0.33,    0.12,    0.41,   -0.49,    0.12,   0.004
20170824,   -0.14,    0.57,    0.17,   -0.49,    0.22,   0.004
20170825,    0.18,    0.16,    0.56,    0.13,    0.24,   0.004
20170828,    0.08,    0.31,   -0.73,    0.18,   -0.10,   0.004
20170829,    0.10,    0.09,   -0.39,    0.00,    0.07,   0.004
20170830,    0.53,    0.00,   -0.31,    0.09,   -0.38,   0.004
20170831,    0.62,    0.38,   -0.43,   -0.31,    0.06,   0.004
20170901,    0.27,    0.43,    0.41,   -0.08,    0.35,   0.005
20170905,   -0.81,   -0.03,   -0.99,   -0.06,    0.49,   0.005
20170906,    0.28,   -0.05,    0.12,   -0.37,    0.16,   0.005
20170907,   -0.07,    0.01,   -0.92,    0.03,    0.12,   0.005
20170908,   -0.16,    0.13,    0.38,    0.22,   -0.11,   0.005
20170911,    1.08,   -0.06,    0.64,   -0.32,   -0.08,   0.005
20170912,    0.44,    0.33,    0.72,    0.09,    0.18,   0.005
20170913,    0.11,    0.27,    0.33,   -0.33,    0.13,   0.005
20170914,   -0.12,   -0.07,   -0.06,   -0.32,    0.24,   0.005
20170915,    0.19,    0.25,    0.14,    0.29,   -0.03,   0.005
20170918,    0.24,    0.40,    0.20,   -0.48,    0.25,   0.005
20170919,    0.15,   -0.20,    0.39,    0.04,    0.05,   0.005
20170920,    0.16,    0.27,    0.49,   -0.18,    0.31,   0.005
20170921,   -0.28,    0.15,    0.37,   -0.05,   -0.06,   0.005
20170922,    0.12,    0.43,    0.12,    0.38,    0.32,   0.005
20170925,   -0.25,    0.35,    0.60,   -0.21,    0.62,   0.005
20170926,    0.05,    0.47,    0.17,    0.57,   -0.17,   0.005
20170927,    0.63,    1.44,    0.23,   -0.29,   -0.47,   0.005
20170928,    0.13,    0.17,   -0.04,   -0.10,   -0.15,   0.005
20170929,    0.35,   -0.14,   -0.26,   -0.11,   -0.32,   0.005
20171002,    0.50,    0.88,    0.13,   -0.21,    0.24,   0.004
20171003,    0.26,   -0.03,   -0.05,   -0.02,   -0.09,   0.004
20171004,    0.05,   -0.34,   -0.46,   -0.10,    0.05,   0.004
20171005,    0.55,   -0.31,    0.38,   -0.31,   -0.18,   0.004
20171006,   -0.08,   -0.08,   -0.26,    0.17,   -0.36,   0.004
20171009,   -0.22,   -0.28,    0.00,    0.11,   -0.21,   0.004
20171010,    0.24,    0.04,    0.43,    0.11,   -0.10,   0.004
20171011,    0.16,   -0.25,   -0.19,   -0.05,   -0.09,   0.004
20171012,   -0.18,   -0.11,   -0.52,    0.17,    0.09,   0.004
20171013,    0.04,   -0.30,    0.10,    0.22,   -0.01,   0.004
20171016,    0.17,   -0.29,    0.33,    0.03,   -0.08,   0.004
20171017,    0.01,   -0.34,   -0.30,    0.41,   -0.17,   0.004
20171018,    0.14,    0.35,    0.22,    0.31,   -0.14,   0.004
20171019,    0.02,   -0.35,    0.18,    0.14,    0.09,   0.004
20171020,    0.57,    0.00,    0.27,    0.09,   -0.01,   0.004
20171023,   -0.45,   -0.36,    0.18,    0.26,   -0.37,   0.004
20171024,    0.20,   -0.11,    0.50,    0.01,   -0.11,   0.004
20171025,   -0.51,    0.05,    0.16,    0.24,   -0.49,   0.004
20171026,    0.20,    0.07,    0.30,    0.15,   -0.17,   0.004
20171027,    0.82,   -0.05,   -0.96,    0.08,   -1.22,   0.004
20171030,   -0.46,   -0.79,   -0.04,   -0.57,   -0.29,   0.004
20171031,    0.23,    0.77,   -0.25,   -0.20,    0.13,   0.004
20171101,    0.05,   -0.80,    0.08,   -0.01,   -0.06,   0.004
